gene,community
A1BG,BrC16
AIP,BrC16
ANAPC10,BrC16
ANAPC16,BrC16
ANP32B,BrC16
ATP5G2,BrC16
BCAS2,BrC16
BTF3,BrC16
C12orf57,BrC16
C18orf21,BrC16
C19orf43,BrC16
C1orf50,BrC16
C8orf59,BrC16
CAMLG,BrC16
CCDC59,BrC16
CCNB1IP1,BrC16
CCNI,BrC16
CCT4,BrC16
CDK4,BrC16
CHMP5,BrC16
CLTA,BrC16
COMMD6,BrC16
COX4I1,BrC16
COX7A2L,BrC16
CSNK2B,BrC16
CWC15,BrC16
DNAJC19,BrC16
EBPL,BrC16
ECSIT,BrC16
EDF1,BrC16
EEF1A1,BrC16
EEF1B2,BrC16
EEF1D,BrC16
EEF1G,BrC16
EIF2A,BrC16
EIF3D,BrC16
EIF3E,BrC16
EIF3F,BrC16
EIF3G,BrC16
EIF3H,BrC16
EIF3K,BrC16
EIF3L,BrC16
EIF3M,BrC16
EIF4B,BrC16
ESD,BrC16
EXOSC5,BrC16
FAM207A,BrC16
FAM216A,BrC16
FAU,BrC16
FBL,BrC16
FBXL15,BrC16
GABARAP,BrC16
GABARAPL2,BrC16
GLTSCR2,BrC16
GSTP1,BrC16
HAX1,BrC16
HINT1,BrC16
HSCB,BrC16
IFI27L2,BrC16
IGBP1,BrC16
IMPDH2,BrC16
LINC00493,BrC16
LSM2,BrC16
MED30,BrC16
MMADHC,BrC16
MRPL11,BrC16
MRPL45,BrC16
MRPL9,BrC16
MRPS24,BrC16
MT-ATP6,BrC16
MT-ATP8,BrC16
MT-CO2,BrC16
MT-CYB,BrC16
MT-ND1,BrC16
MT-ND2,BrC16
MT-ND3,BrC16
MT-ND4,BrC16
MT-ND4L,BrC16
MZT2A,BrC16
NACA,BrC16
NBDY,BrC16
NDUFS4,BrC16
NME2,BrC16
NOB1,BrC16
NOSIP,BrC16
NPM1,BrC16
NPM3,BrC16
NSA2,BrC16
NSMCE1,BrC16
NSMCE2,BrC16
NT5C3B,BrC16
PCBP2,BrC16
PFDN4,BrC16
PFDN5,BrC16
PHB2,BrC16
POLR1D,BrC16
PSMG2,BrC16
PTRHD1,BrC16
RAB34,BrC16
RACK1,BrC16
RFC2,BrC16
RNF113A,BrC16
RPL10,BrC16
RPL10A,BrC16
RPL11,BrC16
RPL12,BrC16
RPL13,BrC16
RPL13A,BrC16
RPL14,BrC16
RPL15,BrC16
RPL17,BrC16
